backup_location,collection,contributor,creator,date,description,downloads,external-identifier,foldoutcount,format,identifier,imagecount,indexflag,item_size,language,mediatype,month,oai_updatedate,publicdate,publisher,rights,subject,title,volume,week,year,url,pdf_url
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,2000-01-01T00:00:00Z,,5063,urn:oclc:record:1037556762,0,,CAT10193534071,764,,1842805541,eng,texts,4,,2015-11-12T16:00:10Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,2000:Dec.,0,2000,https://archive.org/stream/CAT10193534071/CAT10193534071_djvu.txt,https://archive.org/8/items/CAT10193534071/CAT10193534071.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1999-01-01T00:00:00Z,,1877,urn:oclc:record:1037557350,0,,CAT10193534069,770,,1614017122,eng,texts,6,,2015-11-12T16:00:08Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1999:Dec.,1,1999,https://archive.org/stream/CAT10193534069/CAT10193534069_djvu.txt,https://archive.org/8/items/CAT10193534069/CAT10193534069.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,2000-01-01T00:00:00Z,,2007,urn:oclc:record:1037561254,0,,CAT10193534070,812,,1644847129,eng,texts,31,,2015-11-12T16:00:09Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,2000:July,4,2000,https://archive.org/stream/CAT10193534070/CAT10193534070_djvu.txt,https://archive.org/8/items/CAT10193534070/CAT10193534070.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1996-01-01T00:00:00Z,,1426,urn:oclc:record:1037559095,0,,CAT10193534063,736,,1863379446,eng,texts,16,,2015-11-12T16:00:02Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1996:Dec.,2,1996,https://archive.org/stream/CAT10193534063/CAT10193534063_djvu.txt,https://archive.org/8/items/CAT10193534063/CAT10193534063.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1997-01-01T00:00:00Z,,2589,urn:oclc:record:1037561852,0,,CAT10193534064,728,,1885988202,eng,texts,12,,2015-11-12T16:00:03Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1997:July,3,1997,https://archive.org/stream/CAT10193534064/CAT10193534064_djvu.txt,https://archive.org/8/items/CAT10193534064/CAT10193534064.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,2001-01-01T00:00:00Z,,3020,urn:oclc:record:1037558191,0,,CAT10193534072,764,,1839509030,eng,texts,4,,2015-11-12T16:00:11Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,2001:July,0,2001,https://archive.org/stream/CAT10193534072/CAT10193534072_djvu.txt,https://archive.org/8/items/CAT10193534072/CAT10193534072.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1997-01-01T00:00:00Z,,2381,urn:oclc:record:1037558724,0,,CAT10193534065,748,,1987616648,eng,texts,54,,2015-11-12T16:00:04Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1997:Dec.,16,1997,https://archive.org/stream/CAT10193534065/CAT10193534065_djvu.txt,https://archive.org/8/items/CAT10193534065/CAT10193534065.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1998-01-01T00:00:00Z,,1993,urn:oclc:record:1037563572,0,,CAT10193534066,764,,2006505294,eng,texts,16,,2015-11-12T16:00:05Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1998:July,5,1998,https://archive.org/stream/CAT10193534066/CAT10193534066_djvu.txt,https://archive.org/8/items/CAT10193534066/CAT10193534066.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1999-01-01T00:00:00Z,,2135,urn:oclc:record:1037562948,0,,CAT10193534068,812,,1678462689,eng,texts,2,,2015-11-12T16:00:07Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1999:July,0,1999,https://archive.org/stream/CAT10193534068/CAT10193534068_djvu.txt,https://archive.org/8/items/CAT10193534068/CAT10193534068.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,2002-01-01T00:00:00Z,,3469,urn:oclc:record:1037559977,0,,CAT10193534074,780,,1911914804,eng,texts,5,,2015-11-12T16:00:13Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,2002:July,1,2002,https://archive.org/stream/CAT10193534074/CAT10193534074_djvu.txt,https://archive.org/8/items/CAT10193534074/CAT10193534074.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,1998-01-01T00:00:00Z,,2078,urn:oclc:record:1037560845,0,,CAT10193534067,836,,1840128901,eng,texts,1,,2015-11-12T16:00:06Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,1998:Dec.,0,1998,https://archive.org/stream/CAT10193534067/CAT10193534067_djvu.txt,https://archive.org/8/items/CAT10193534067/CAT10193534067.pdf
ia905505_0,,"U.S. Department of Agriculture, National Agricultural Library",,2001-01-01T00:00:00Z,,3375,urn:oclc:record:1037561837,0,,CAT10193534073,784,,1913937454,eng,texts,11,,2015-11-12T16:00:12Z,"Washington, D.C. : U.S. Dept. of Agriculture, Meat and Poultry Inspection Program",The contributing institution believes that this item is not in copyright.,,Meat inspection United States Directories; Poultry Inspection United States Directories,2001:Dec.,7,2001,https://archive.org/stream/CAT10193534073/CAT10193534073_djvu.txt,https://archive.org/8/items/CAT10193534073/CAT10193534073.pdf
